id,name,brand,category,flavor,size,status
1,Gold Standard 100% Whey - Double Rich Chocolate,Optimum Nutrition,whey,Double Rich Chocolate,2 lbs,
2,Gold Standard 100% Whey - Double Rich Chocolate,Optimum Nutrition,whey,Double Rich Chocolate,5 lbs,
3,Gold Standard 100% Whey - Vanilla Ice Cream,Optimum Nutrition,whey,Vanilla Ice Cream,10 lbs,
4,Gold Standard 100% Whey - Vanilla Ice Cream,Optimum Nutrition,whey,Vanilla Ice Cream,2 lbs,
5,Gold Standard 100% Whey - Strawberry Banana,Optimum Nutrition,whey,Strawberry Banana,5 lbs,
6,Gold Standard 100% Whey - Cookies & Cream,Optimum Nutrition,whey,Cookies & Cream,5 lbs,
7,Gold Standard 100% Whey - Chocolate Peanut Butter,Optimum Nutrition,whey,Chocolate Peanut Butter,2 lbs,
8,Gold Standard 100% Whey - Mocha Cappuccino,Optimum Nutrition,whey,Mocha Cappuccino,5 lbs,
9,Gold Standard 100% Whey - French Vanilla,Optimum Nutrition,whey,French Vanilla,2 lbs,
10,Gold Standard 100% Whey - Chocolate Malt,Optimum Nutrition,whey,Chocolate Malt,5 lbs,
11,Gold Standard 100% Isolate - Chocolate,Optimum Nutrition,whey,Chocolate,3 lbs,
12,Gold Standard 100% Isolate - Vanilla,Optimum Nutrition,whey,Vanilla,3 lbs,
13,Gold Standard 100% Casein - Chocolate,Optimum Nutrition,whey,Chocolate,4 lbs,
14,Gold Standard 100% Casein - Vanilla,Optimum Nutrition,whey,Vanilla,4 lbs,
15,Platinum Hydrowhey - Chocolate,Optimum Nutrition,whey,Chocolate,3.5 lbs,
16,Pro JYM - Chocolate Peanut Butter,JYM Supplement Science,whey,Chocolate Peanut Butter,2 lbs,
17,Pro JYM - Tahitian Vanilla Bean,JYM Supplement Science,whey,Tahitian Vanilla Bean,2 lbs,
18,ISO JYM - Chocolate,JYM Supplement Science,whey,Chocolate,2 lbs,
19,ISO JYM - Vanilla,JYM Supplement Science,whey,Vanilla,2 lbs,
20,Combat 100% Whey - Chocolate Milk,MusclePharm,whey,Chocolate Milk,5 lbs,
21,Combat 100% Whey - Vanilla,MusclePharm,whey,Vanilla,2 lbs,
22,Combat 100% Whey - Cookies & Cream,MusclePharm,whey,Cookies & Cream,5 lbs,
23,Combat 100% Whey - Chocolate Milk,MusclePharm,whey,Chocolate Milk,10 lbs,
24,Nitro-Tech 100% Whey - Chocolate,MuscleTech,whey,Chocolate,5 lbs,
25,Nitro-Tech 100% Whey - Vanilla,MuscleTech,whey,Vanilla,2 lbs,
26,Nitro-Tech Whey Gold - Milk Chocolate,MuscleTech,whey,Milk Chocolate,5.5 lbs,
27,Nitro-Tech Whey Gold - Cookies & Cream,MuscleTech,whey,Cookies & Cream,8 lbs,
28,Nitro-Tech 100% Whey - Strawberry,MuscleTech,whey,Strawberry,4 lbs,
29,Phase8 - Chocolate,MuscleTech,whey,Chocolate,4.6 lbs,
30,Mass-Tech Extreme 2000 - Chocolate,MuscleTech,whey,Chocolate,20 lbs,
31,Whey Protein Isolate - Chocolate Fudge,Rule1,whey,Chocolate Fudge,5 lbs,
32,Whey Protein Isolate - Vanilla Creme,Rule1,whey,Vanilla Creme,2 lbs,
33,Whey Protein Isolate - Salted Caramel,Rule1,whey,Salted Caramel,5 lbs,
34,Whey Protein - Chocolate Peanut Butter,Rule1,whey,Chocolate Peanut Butter,5 lbs,
35,Whey Protein - Cookies & Cream,Rule1,whey,Cookies & Cream,2 lbs,
36,ISO Protein - Chocolate,Dymatize,whey,Chocolate,5 lbs,
37,ISO Protein - Vanilla,Dymatize,whey,Vanilla,3 lbs,
38,ISO Protein - Cookies & Cream,Dymatize,whey,Cookies & Cream,5 lbs,
39,ISO Protein - Gourmet Chocolate,Dymatize,whey,Gourmet Chocolate,3 lbs,
40,ISO Protein - Strawberry,Dymatize,whey,Strawberry,5 lbs,
41,Elite Whey Protein - Rich Chocolate,Dymatize,whey,Rich Chocolate,5 lbs,
42,Elite Whey Protein - Vanilla,Dymatize,whey,Vanilla,2 lbs,
43,Elite Whey Protein - Cookies & Cream,Dymatize,whey,Cookies & Cream,5 lbs,
44,Elite Casein - Chocolate,Dymatize,whey,Chocolate,4 lbs,
45,ISO Clear - Pineapple,Dymatize,whey,Pineapple,2.5 lbs,
46,Impact Whey Protein - Chocolate Brownie,Myprotein,whey,Chocolate Brownie,5.5 lbs,
47,Impact Whey Protein - Vanilla,Myprotein,whey,Vanilla,2.2 lbs,
48,Impact Whey Protein - Strawberry Cream,Myprotein,whey,Strawberry Cream,5.5 lbs,
49,Impact Whey Protein - Chocolate Smooth,Myprotein,whey,Chocolate Smooth,11 lbs,
50,Impact Whey Isolate - Chocolate,Myprotein,whey,Chocolate,5.5 lbs,
51,Impact Whey Isolate - Vanilla,Myprotein,whey,Vanilla,2.2 lbs,
52,Impact Whey Isolate - Salted Caramel,Myprotein,whey,Salted Caramel,5.5 lbs,
53,Impact Whey Isolate - Chocolate,Myprotein,whey,Chocolate,11 lbs,
54,Clear Whey Isolate - Peach Tea,Myprotein,whey,Peach Tea,5.3 lbs,
55,Clear Whey Isolate - Mango,Myprotein,whey,Mango,5.3 lbs,
56,Clear Whey Isolate - Lemonade,Myprotein,whey,Lemonade,2.6 lbs,
57,Slow Release Casein - Chocolate,Myprotein,whey,Chocolate,5.5 lbs,
58,Whey Protein Premium WPC 80 - Chocolate,Scivation,whey,Chocolate,5 lbs,
59,Quake Whey Protein - Cookies & Cream,Scivation,whey,Cookies & Cream,5 lbs,
60,Whey Protein Isolate - Chocolate,Cellucor,whey,Chocolate,5 lbs,
61,Cor-Performance Whey - Vanilla,Cellucor,whey,Vanilla,28 servings,
62,Cor-Performance Whey - Chocolate,Cellucor,whey,Chocolate,70 servings,
63,Isofit Whey Isolate - Chocolate,SAN,whey,Chocolate,5 lbs,
64,WheyTech 24 - Vanilla,SAN,whey,Vanilla,5 lbs,
65,Natural Whey - Chocolate,NOW Foods,whey,Chocolate,5 lbs,
66,Whey Protein Isolate - Vanilla,NOW Foods,whey,Vanilla,5 lbs,
67,Sport Whey - Chocolate,Now Sports,whey,Chocolate,2 lbs,
68,Whey Protein - Triple Chocolate,GNC,whey,Triple Chocolate,5 lbs,
69,Whey Protein Isolate - Vanilla,GNC,whey,Vanilla,4.4 lbs,
70,Pro Performance Whey - Chocolate,Bulk,whey,Chocolate,5 lbs,
71,Creapure Creatine Monohydrate - Unflavored,Optimum Nutrition,creatine,Unflavored,300g,
72,Micronized Creatine Powder - Unflavored,Optimum Nutrition,creatine,Unflavored,600g,
73,Creatine 2500 Caps,Optimum Nutrition,creatine,Unflavored,100 caps,
74,Platinum Creatine - Unflavored,Muscletech,creatine,Unflavored,400g,
75,Platinum Creatine - Unflavored,Muscletech,creatine,Unflavored,800g,
76,Creatine Chews,Muscletech,creatine,Unflavored,60 chews,
77,Creapure Creatine - Unflavored,MusclePharm,creatine,Unflavored,300g,
78,Creatine Monohydrate - Unflavored,MusclePharm,creatine,Unflavored,500g,
79,Creapure Creatine - Unflavored,Rule1,creatine,Unflavored,300g,
80,Creatine Monohydrate - Unflavored,Rule1,creatine,Unflavored,500g,
81,Micronized Creatine - Unflavored,Dymatize,creatine,Unflavored,500g,
82,Creatine Monohydrate - Unflavored,Dymatize,creatine,Unflavored,1000g,
83,Creatine HCl,Dymatize,creatine,Unflavored,120 caps,
